qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
2,12,03,29.424126,27.559937,31.288315,0.00029424127,0.00058830943,99600.945,58.596172,497858.25,6869997.5,68.975243,68.996132
3,12,03,31.565742,29.594847,33.53664,0.00031565744,0.00063111563,99598.75,62.85833,497836.59,6820562.5,68.4804,68.484863
4,12,03,33.410061,31.203161,35.616959,0.00033410059,0.00066797802,99604.125,66.533371,497854.28,6786187,68.131653,68.157432
5,12,03,37.268986,35.036224,39.501743,0.00037268986,0.00074510201,99532.656,74.16198,497477.88,6700733,67.321953,67.329708
1,17,03,42.171116,39.837254,44.504978,0.00042171116,0.00084306672,99588.18,83.95948,497731,6441003,64.676674,64.792846
2,17,03,44.110569,41.741428,46.47971,0.00044110569,0.00088182231,99542.664,87.778938,497493.84,6371539,64.008148,64.034569
3,17,03,48.354382,45.909683,50.79908,0.00048354382,0.00096662017,99535.891,96.213402,497438.94,6322726,63.522072,63.526951
4,17,03,51.130482,48.4734,53.787567,0.00051130482,0.0010220869,99536.766,101.73523,497429.47,6290381,63.196571,63.202478
5,17,03,56.037575,53.341122,58.734028,0.00056037575,0.0011201237,99460.352,111.40789,497023.25,6201345.5,62.350033,62.376239
1,22,03,96.15097,92.745667,99.556274,0.00096150971,0.0019211716,99504.219,191.16467,497043.19,5943272,59.729141,59.855159
2,22,03,89.321411,86.213631,92.429192,0.00089321414,0.0017848336,99454.883,177.51042,496830.66,5874045.5,59.062435,59.091578
3,22,03,97.570778,94.385559,100.756,0.00097570778,0.0019495127,99439.68,193.85892,496713.75,5825287,58.581112,58.585774
4,22,03,103.13269,99.586601,106.67877,0.0010313268,0.0020605279,99436.625,204.89195,496670.91,5792037.5,58.248577,58.264001
5,22,03,112.93664,109.45032,116.42297,0.0011293663,0.0022561837,99347.086,224.14526,496175.06,5706241,57.437431,57.442103
1,27,03,125.07137,121.55513,128.58762,0.0012507137,0.0024983014,99310.156,248.1067,495930.5,5454206,54.920925,54.94278
2,27,03,125.85673,122.43129,129.28217,0.0012585673,0.0025139693,99277.375,249.58028,495762.91,5377214.5,54.163567,54.186836
3,27,03,133.58932,130.1272,137.05147,0.0013358933,0.0026682205,99245.82,264.80972,495567.06,5328573.5,53.690659,53.689538
4,27,03,145.23996,141.35435,149.12555,0.0014523995,0.0029005841,99231.734,287.82999,495439.13,5295366.5,53.363686,53.378974
5,27,03,162.03677,158.11137,165.96216,0.0016203678,0.0032354901,99125.57,320.71976,494826.03,5209852,52.558136,52.568516
1,32,03,126.0416,122.71404,129.36916,0.001260416,0.0025176574,99066.914,249.41655,494711.03,4954234.5,50.009235,49.954504
