qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
4,52,02,730.65924,721.48865,739.8299,0.0073065925,0.01450693,97716.023,1417.5597,485036.22,3436627.3,35.169666,35.22957
5,52,02,784.51935,773.82605,795.21265,0.0078451931,0.015567934,97473.938,1517.4679,483576.03,3378007.5,34.655682,34.693288
1,57,02,895.5791,886.49854,904.65973,0.0089557916,0.017752122,96855.102,1719.3837,479977.06,3012577.3,31.10396,31.10396
2,57,02,938.55121,929.03125,948.07117,0.0093855122,0.018595945,96638.102,1797.0768,478697.81,2996395.5,31.006357,31.006357
3,57,02,954.92255,944.94336,964.90173,0.0095492257,0.018917231,96437.852,1824.3372,477628.41,2975790.5,30.85708,30.85708
4,57,02,963.45984,952.43561,974.48413,0.0096345982,0.019084733,96298.461,1837.8304,476897.75,2951591,30.650581,30.706311
5,57,02,1033.8167,1019.8745,1047.7588,0.010338167,0.020464044,95976.82,1964.0739,474973.91,2893591,30.149439,30.201326
1,62,02,988.33807,977.12183,999.55438,0.0098833805,0.019572679,95135.719,1862.0609,471023.44,2532600.3,26.620918,26.620918
2,62,02,1035.7728,1024.8938,1046.6517,0.010357728,0.020502366,94841.023,1944.4653,469343.94,2517697.8,26.546505,26.546505
3,62,02,1057.6125,1046.5906,1068.6345,0.010576125,0.020930111,94613.516,1980.2715,468116.91,2498162,26.40386,26.40386
4,62,02,1081.3462,1069.1324,1093.5599,0.010813462,0.021394739,94460.633,2020.9604,467250.75,2474693.3,26.19828,26.252972
5,62,02,1188.2841,1173.015,1203.5531,0.011882841,0.023485502,94012.75,2207.9365,464543.91,2418617,25.727079,25.782436
1,67,02,1242.2711,1228.3556,1256.1866,0.012422712,0.024539316,93273.656,2288.8718,460646.09,2061576.8,22.102455,22.102455
2,67,02,1302.1362,1289.0565,1315.2159,0.013021362,0.025706537,92896.555,2388.0488,458512.66,2048353.8,22.049835,22.049835
3,67,02,1340.8802,1327.0176,1354.7428,0.013408802,0.026461206,92633.242,2451.1873,457038.25,2030045.1,21.914865,21.914865
4,67,02,1390.1685,1375.4263,1404.9106,0.013901684,0.027420413,92439.664,2534.7339,455861.5,2007442.6,21.716385,21.775766
5,67,02,1560.6042,1543.4802,1577.7284,0.015606043,0.030730017,91804.813,2821.1633,451971.16,1954073.1,21.285698,21.342005
1,72,02,2297.835,2276.1719,2319.498,0.022978351,0.044916686,90984.781,4086.7349,444707.06,1600930.8,17.595589,17.595589
2,72,02,2385.854,2366.0259,2405.6821,0.02385854,0.046596512,90508.508,4217.3809,441999.09,1589841.1,17.565655,17.565655
3,72,02,2462.946,2443.9248,2481.9673,0.024629461,0.048065379,90182.055,4334.6348,440073.69,1573006.9,17.442572,17.442572
4,72,02,2559.5701,2539.3308,2579.8093,0.0255957,0.049903195,89904.938,4486.5435,438308.34,1551581.1,17.258162,17.314195
5,72,02,2867.7813,2845.5593,2890.0029,0.028677812,0.055741791,88983.648,4960.1079,432518,1502102,16.881287,16.936644
1,77,02,5809.9165,5774.0498,5845.7827,0.058099166,0.10970137,86898.047,9532.834,410658.16,1156223.6,13.305519,13.305519
2,77,02,5926.1484,5895.4375,5956.8599,0.059261486,0.11176859,86291.125,9644.6377,407344.03,1147842,13.30197,13.30197
3,77,02,6097.2598,6066.9541,6127.5649,0.060972597,0.11480312,85847.422,9855.5518,404598.22,1132933.3,13.197056,13.197056
4,77,02,6288.5962,6257.167,6320.0254,0.062885962,0.11818405,85418.398,10095.092,401854.25,1113272.8,13.033324,13.087667
5,77,02,6895.5513,6862.582,6928.521,0.068955511,0.1288238,84023.547,10824.232,393057.16,1069584,12.730247,12.787783
1,82,02,17174.939,17106.363,17243.516,0.1717494,0.29071566,77365.211,22491.279,330597.84,745565.5,9.636961,9.636961
2,82,02,17138.459,17082.184,17194.736,0.17138459,0.29019797,76646.484,22242.654,327625.78,740498,9.6612129,9.661213
3,82,02,17523.543,17468.344,17578.742,0.17523544,0.29564366,75991.867,22466.514,323793.06,728335,9.5843811,9.584381
4,82,02,17847.77,17789.707,17905.832,0.1784777,0.30019629,75323.297,22611.777,320087.06,711418.5,9.4450359,9.513463
5,82,02,18966.049,18906.885,19025.213,0.18966049,0.31567407,73199.313,23107.127,308228.75,676526.88,9.2430277,9.306888
1,85,02,33428.578,33328.938,33528.219,0.3342858,0.48755997,54873.93,26754.332,414967.63,414967.63,7.5622001,7.5622
2,85,02,32907.766,32823.598,32991.934,0.32907766,0.48219436,54403.828,26233.219,412872.19,412872.19,7.5890284,7.589028
3,85,02,33511.59,33427.266,33595.91,0.33511588,0.48841,53525.352,26142.316,404541.94,404541.94,7.55795,7.55795
4,85,02,33858.402,33774.766,33942.043,0.33858404,0.49194628,52711.523,25931.238,391331.44,391331.44,7.4242644,7.500107
5,85,02,35274.438,35185.309,35363.566,0.35274437,0.50613284,50092.188,25353.301,368298.09,368298.09,7.3535323,7.450512
1,2,03,114.8668,110.84761,118.88598,0.001148668,0.0022946992,100000,229.46991,499426.31,8462115,84.621155,84.513505
2,2,03,126.63845,122.49223,130.78467,0.0012663845,0.0025295643,100000,252.95642,499367.63,8441552,84.41552,84.335057
3,2,03,131.26726,127.10453,135.42999,0.0013126726,0.0026219022,100000,262.19022,499344.53,8425091,84.250916,84.237951
4,2,03,147.255,142.32841,152.18159,0.0014725501,0.0029407677,100000,294.07678,499264.81,8399190,83.991905,84.048002
5,2,03,149.96559,145.26924,154.66196,0.001499656,0.0029948186,100000,299.48184,499251.28,8337720.5,83.377205,83.414896
1,7,03,38.940445,36.687489,41.193401,0.00038940445,0.0007785057,99770.531,77.671928,498658.47,7962689,79.810028,79.738517
